movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt22441984,Lost Vegas,IV,,,"Action, Horror, Sci-Fi",,"It's 2029, nearly a decade after the Covid-19 vaccine was tampered with. People turn into flesh-eating zombies when they meet an unvaccinated person.",Bowfinger Stagger,/name/nm13808735/,"B Z Cullins, 
Donte Williams, 
Makala Royce, 
Kevin Stagger","/name/nm9639335/,/name/nm5032131/,/name/nm12929372/,/name/nm1376511/",,
tt0095311,Hit List,1989,R,87 min,"Action, Thriller",5.6,A family man and a mob witness hunt for a hit-man who has mistakenly kidnapped the family man's son.,William Lustig,/name/nm0527350/,"Jan-Michael Vincent, 
Leo Rossi, 
Lance Henriksen, 
Charles Napier","/name/nm0001821/,/name/nm0744235/,/name/nm0000448/,/name/nm0621008/",625,
tt0369036,Udhaya,2004,Not Rated,122 min,"Action, Drama, Thriller",4.5,"Udhaya and Vasanthi love each other, but when he learns that she is engaged to another, he moves to another city. Here he is framed for a crime; Vasanthi finds out and sets out to prove his innocence.",Azhagam Perumal,/name/nm1386816/,"Joseph Vijay, 
Simran, 
Pyramid Natarajan, 
Sophiya Haque","/name/nm0897201/,/name/nm0801264/,/name/nm1228414/,/name/nm0361643/",1033,
tt0063488,Le rapace,1968,,105 min,"Action, Adventure, Drama",6.3,"In 1934, in a South-American country, a mercenary is hired to kill the head of state. Accompanied by the former president's grandson, he moves into a house opposite the presidential palace. During their wait, friendship grows between them.",José Giovanni,/name/nm0320510/,"Lino Ventura, 
Rosa Furman, 
Aurora Clavel, 
Enrique Lucero","/name/nm0893341/,/name/nm0298985/,/name/nm0165411/,/name/nm0524468/",623,
tt0100661,Sonny Boy,1989,R,96 min,"Action, Drama, Thriller",5.7,"A small-town crime boss accepts delivery of a stolen car, only to find there's a baby in the back-seat. He and his transgender wife cut out the boy's tongue and raise him as a mute ...                See full summary »",Robert Martin Carroll,/name/nm0140967/,"David Carradine, 
Paul L. Smith, 
Brad Dourif, 
Conrad Janis","/name/nm0001016/,/name/nm0809544/,/name/nm0000374/,/name/nm0417641/",885,
tt9893130,"2025: Blood, White & Blue",2022,TV-MA,135 min,"Action, Comedy, Horror",2.1,"In the year 2025, the 45th President of the United States of America is back for his 2rd term in office and re-implements the Purge. With the 2nd Mexican border wall in the works, Homeland ...                See full summary »",Josh E. Williams,/name/nm7529110/,"Doug Boethin, 
Justin W. Smith, 
Serena Starks, 
Natasha Dee Davis","/name/nm10046523/,/name/nm4014952/,/name/nm9174220/,/name/nm3281006/",168,
tt15576578,Prince,2022,,143 min,"Action, Drama, Romance",4.5,"A teacher falls in love with a young British woman who works as an English teacher at the same school. He tries to woo her, leads conflicts that come crashing on them as they face the biggest battle of their lives - to get married.",Anudeep K.V.,/name/nm8745994/,"Premgi Amaren, 
Anandraj, 
Finally Bharath, 
Carl A. Harte","/name/nm2908893/,/name/nm1686962/,/name/nm14108496/,/name/nm8106015/",2980,
tt11732164,Pathu Thala,2023,,135 min,"Action, Crime, Drama",,"An undercover cop goes into big world where a place is taken over by a don, where his safety may be compromised.",Obeli N. Krishna,/name/nm12175947/,"Silambarasan Rajendar, 
Gautham Karthik, 
Priya Bhavani Shankar, 
Kalaiyarasan","/name/nm1167656/,/name/nm5221962/,/name/nm9350574/,/name/nm5296909/",,
tt16997558,The Assistant,2022,,124 min,"Action, Crime, Thriller",5.4,"Zafik is unjustly imprisoned and not pleased about it. When he is released, he gets the help of the unhinged Feroz to get revenge.",Adrian Teh,/name/nm4349538/,"Iedil Dzuhrie Alaudin, 
Hairul Azreen, 
Henley Hii, 
Farali Khan","/name/nm4702939/,/name/nm5829578/,/name/nm4753839/,/name/nm11288598/",326,
tt12008944,The Thousand Faces of Dunjia,2018,,84 min,Action,5.7,"After his dad was killed by a demon, a young brave man learns the art of DunJia for revenge against the Demon.","Hesheng Xiang, 
Qiuliang Xiang",/name/nm10452900/,"Peng He, 
Eddy Ko, 
Yen-Jou Lin, 
Xin Yue","/name/nm10452899/,/name/nm10799247/,/name/nm0304708/,/name/nm7975972/,/name/nm11077848/",247,
tt15048126,The Grandmaster of Kungfu,2019,,74 min,Action,7.5,"Near the end of the Qing Dynasty, a renowned Chinese martial artist engages in a life-or-death battle with a feared Japanese military commander in order to prevent Japan's ultimate goal of seizing martial arts stronghold Tianjin.",Cheng Si-Yu,/name/nm12758753/,"Liu Aiguo, 
Wei Deng, 
Yuhang Du, 
Naomen Eerdeni","/name/nm11363316/,/name/nm12584167/,/name/nm4739355/,/name/nm10344340/",24,
